"5000, low-medium risk",,,,"15000, medium-high risk",,,,"100000, medium risk",,,
Annualized return,Annualized volatility,Sharpe ratio,Max drawdown,Annualized return,Annualized volatility,Sharpe ratio,Max drawdown,Annualized return,Annualized volatility,Sharpe ratio,Max drawdown
0.2311,0.177,1.31,-0.31,0.3044,0.3015,1.01,-0.3882,0.2937,0.2432,1.21,-0.3446
0.2092,0.151,1.39,-0.2687,0.3876,0.2771,1.4,-0.4035,0.273,0.2202,1.24,-0.2619
0.2017,0.1415,1.43,-0.2618,0.3509,0.2806,1.25,-0.4299,0.2824,0.2068,1.37,-0.3084
0.1789,0.1495,1.2,-0.2808,0.3863,0.2539,1.52,-0.3571,0.357,0.2531,1.41,-0.3229
0.3127,0.1691,1.85,-0.169,0.3444,0.237,1.45,-0.3351,0.35,0.2482,1.41,-0.38
0.1641,0.1412,1.16,-0.2688,0.3723,0.2574,1.45,-0.3514,0.2907,0.2159,1.35,-0.3105
0.2131,0.1796,1.19,-0.2901,0.3651,0.2673,1.37,-0.3356,0.3339,0.2492,1.34,-0.319
0.1879,0.1379,1.36,-0.1995,0.3211,0.2674,1.2,-0.3958,0.1866,0.2124,0.88,-0.2807
0.2522,0.1792,1.41,-0.3299,0.3558,0.2854,1.25,-0.4292,0.2526,0.2039,1.24,-0.335
0.2114,0.1736,1.22,-0.2776,0.4209,0.2974,1.42,-0.3573,0.2458,0.194,1.27,-0.2744
0.3053,0.1955,1.56,-0.2918,0.3346,0.2499,1.34,-0.3315,0.2568,0.1898,1.35,-0.2649
0.1666,0.1336,1.25,-0.215,0.3814,0.2674,1.43,-0.3361,0.2852,0.25,1.14,-0.332
0.1577,0.142,1.11,-0.2715,0.38,0.2546,1.49,-0.3755,0.2433,0.2344,1.04,-0.3253
0.1596,0.1291,1.24,-0.1739,0.4593,0.2967,1.55,-0.3804,0.2582,0.2427,1.06,-0.3326
0.1466,0.1314,1.12,-0.259,0.2456,0.2462,1.0,-0.329,0.3042,0.2096,1.45,-0.3683
0.1801,0.1448,1.24,-0.28,0.3322,0.264,1.26,-0.3328,0.2462,0.2332,1.06,-0.3179
0.1776,0.1359,1.31,-0.2296,0.3498,0.2996,1.17,-0.4693,0.2591,0.2308,1.12,-0.3102
0.1924,0.168,1.15,-0.2847,0.3547,0.2614,1.36,-0.3674,0.2349,0.2273,1.03,-0.3489
0.2126,0.1601,1.33,-0.2199,0.3358,0.2585,1.3,-0.3881,0.3119,0.2593,1.2,-0.4064
0.1446,0.1346,1.07,-0.2679,0.3308,0.2804,1.18,-0.4507,0.2961,0.2452,1.21,-0.3426
0.2197,0.1424,1.54,-0.1735,0.4241,0.2839,1.49,-0.4072,0.3187,0.2617,1.22,-0.3425
0.2116,0.1539,1.37,-0.2783,0.338,0.2681,1.26,-0.3981,0.3269,0.2223,1.47,-0.2879
0.1597,0.146,1.09,-0.3036,0.3718,0.3061,1.21,-0.4438,0.2508,0.2368,1.06,-0.3395
0.1972,0.1597,1.24,-0.3037,0.3214,0.2606,1.23,-0.3882,0.2645,0.242,1.09,-0.329
0.1689,0.1346,1.26,-0.2543,0.4483,0.28,1.6,-0.3726,0.3083,0.2367,1.3,-0.3001
0.2566,0.1756,1.46,-0.2711,0.3888,0.2666,1.46,-0.3552,0.3275,0.2439,1.34,-0.325
0.1636,0.1435,1.14,-0.2795,0.3288,0.2633,1.25,-0.3835,0.2947,0.2607,1.13,-0.4291
0.1829,0.1476,1.24,-0.2772,0.3392,0.2699,1.26,-0.3527,0.3368,0.2426,1.39,-0.2967
0.1687,0.1363,1.24,-0.248,0.3703,0.2899,1.28,-0.4186,0.32,0.2433,1.32,-0.3417
0.2554,0.1831,1.4,-0.3365,0.4723,0.2815,1.68,-0.3563,0.2445,0.2169,1.13,-0.3097
0.1732,0.1438,1.2,-0.2627,0.2609,0.2703,0.97,-0.3903,0.2791,0.2073,1.35,-0.3312
0.1431,0.156,0.92,-0.2768,0.4247,0.2588,1.64,-0.4223,0.3442,0.2638,1.3,-0.3313
0.2514,0.1517,1.66,-0.2096,0.4266,0.2895,1.47,-0.382,0.309,0.25,1.24,-0.4045
0.1808,0.1502,1.2,-0.2813,0.3401,0.274,1.24,-0.36,0.3234,0.2383,1.36,-0.3419
0.2154,0.1534,1.4,-0.2832,0.318,0.2725,1.17,-0.371,0.2251,0.2053,1.1,-0.2836
0.2198,0.1482,1.48,-0.2081,0.4316,0.282,1.53,-0.4114,0.2442,0.2309,1.06,-0.3608
0.2086,0.1569,1.33,-0.297,0.3527,0.2771,1.27,-0.386,0.2719,0.2138,1.27,-0.3369
0.1923,0.1502,1.28,-0.2821,0.273,0.2461,1.11,-0.3389,0.3321,0.2229,1.49,-0.3227
0.1875,0.1553,1.21,-0.248,0.3898,0.2421,1.61,-0.3477,0.3168,0.2225,1.42,-0.3208
0.212,0.1785,1.19,-0.2987,0.3498,0.2489,1.41,-0.3514,0.2874,0.2093,1.37,-0.3089
